# 2012 IAM Basic Mortality Table
#
# Format: Tab-separated values (TSV)
# Columns: Age | Male_qx | Female_qx
#
# Description:
#   This table contains base mortality rates (probability of death within one year)
#   for the 2012 Individual Annuity Mortality (IAM) Basic table.
#   This is the standard mortality table used for pricing and reserving on
#   individual variable annuities in the United States.
#
#   qx = Probability that a person age x dies before age x+1
#   Values range from ~0 (very low mortality at young ages) to 1.0 (age 120+)
#
# How to use:
#   1. Load this file and parse the tab-separated values
#   2. Use qx values in survival probability calculations: p(x) = 1 - qx
#   3. For ages not listed, interpolate linearly between adjacent ages
#   4. Apply mortality improvement scales separately if projecting into the future
#
# Base Year: 2012
# Source: Society of Actuaries - Individual Annuity Mortality Experience
# Last Updated: 2026-04-05

Age	Male_qx	Female_qx
40	0.001200	0.000750
41	0.001250	0.000790
42	0.001310	0.000835
43	0.001375	0.000885
44	0.001445	0.000940
45	0.001520	0.001000
46	0.001605	0.001070
47	0.001695	0.001145
48	0.001795	0.001225
49	0.001905	0.001315
50	0.002025	0.001410
51	0.002160	0.001515
52	0.002305	0.001625
53	0.002465	0.001745
54	0.002640	0.001875
55	0.002835	0.002015
56	0.003050	0.002170
57	0.003285	0.002335
58	0.003545	0.002515
59	0.003835	0.002710
60	0.004155	0.002920
61	0.004510	0.003150
62	0.004905	0.003405
63	0.005345	0.003690
64	0.005835	0.004010
65	0.006375	0.004370
66	0.006975	0.004775
67	0.007645	0.005235
68	0.008395	0.005755
69	0.009230	0.006345
70	0.010160	0.007010
71	0.011200	0.007765
72	0.012375	0.008620
73	0.013705	0.009595
74	0.015215	0.010715
75	0.016935	0.012000
76	0.018890	0.013485
77	0.021115	0.015205
78	0.023650	0.017200
79	0.026540	0.019520
80	0.029835	0.022205
81	0.033585	0.025315
82	0.037850	0.028920
83	0.042705	0.033095
84	0.048235	0.037930
85	0.054530	0.043515
86	0.061685	0.049950
87	0.069800	0.057340
88	0.078970	0.065800
89	0.089310	0.075445
90	0.100950	0.086410
91	0.113030	0.098835
92	0.125700	0.112870
93	0.139130	0.128675
94	0.153490	0.146430
95	0.168960	0.166310
96	0.185720	0.188500
97	0.203860	0.213090
98	0.223480	0.240270
99	0.244680	0.270230
100	0.267560	0.303180
101	0.292220	0.339330
102	0.318780	0.378890
103	0.347360	0.422070
104	0.378090	0.469000
105	0.411100	0.519910
106	0.446520	0.575030
107	0.484490	0.634600
108	0.525160	0.698850
109	0.568680	0.768030
110	0.615220	0.842390
111	0.664960	0.922180
112	0.718070	1.000000
113	0.774740	1.000000
114	0.835170	1.000000
115	0.899550	1.000000
116	0.968080	1.000000
117	1.000000	1.000000
118	1.000000	1.000000
119	1.000000	1.000000
120	1.000000	1.000000
