# Scale G2 Mortality Improvement Factors
#
# Format: Tab-separated values (TSV)
# Columns: Age | Male_improvement | Female_improvement
#
# Description:
#   This table contains annual mortality improvement rates from SOA Scale G2
#   mortality projection scale. These factors are applied to base year (2012)
#   mortality rates to project future mortality experience.
#
#   Improvement rate = Annual reduction in mortality (qx) per year
#   Values range from ~0.000 (no improvement) to ~0.020 (2% annual improvement)
#   at younger ages, declining to ~0 at very advanced ages (110+).
#
# How to use:
#   To project mortality to a future calendar year:
#
#   q(x, calendar_year) = q(x, 2012) × (1 - improvement_rate)^(calendar_year - 2012)
#
#   Example: q(55, 2026) = q(55, 2012) × (1 - 0.0130)^(2026-2012)
#                        = q(55, 2012) × (1 - 0.0130)^14
#                        = q(55, 2012) × 0.8345
#
#   This means mortality at age 55 in 2026 is about 83.45% of the 2012 rate.
#
# Base Year: 2012
# Scale: G2 (SOA Retirement Plans Committee)
# Source: Society of Actuaries - Mortality Improvement Scale
# Last Updated: 2026-04-05
#
# Note: Improvement rates are generally higher at working ages (40-65) and
#       lower at very advanced ages (100+), reflecting historical patterns.

Age	Male_improvement	Female_improvement
40	0.0165	0.0145
41	0.0163	0.0143
42	0.0161	0.0141
43	0.0159	0.0139
44	0.0157	0.0137
45	0.0155	0.0135
46	0.0153	0.0133
47	0.0151	0.0131
48	0.0149	0.0129
49	0.0147	0.0127
50	0.0145	0.0125
51	0.0143	0.0123
52	0.0141	0.0121
53	0.0139	0.0119
54	0.0137	0.0117
55	0.0135	0.0115
56	0.0133	0.0113
57	0.0131	0.0111
58	0.0129	0.0109
59	0.0127	0.0107
60	0.0125	0.0105
61	0.0122	0.0102
62	0.0119	0.0099
63	0.0116	0.0096
64	0.0113	0.0093
65	0.0110	0.0090
66	0.0107	0.0087
67	0.0104	0.0084
68	0.0101	0.0081
69	0.0098	0.0078
70	0.0095	0.0075
71	0.0091	0.0071
72	0.0087	0.0067
73	0.0083	0.0063
74	0.0079	0.0059
75	0.0075	0.0055
76	0.0071	0.0051
77	0.0067	0.0047
78	0.0063	0.0043
79	0.0059	0.0039
80	0.0055	0.0035
81	0.0051	0.0031
82	0.0047	0.0027
83	0.0043	0.0023
84	0.0039	0.0019
85	0.0035	0.0015
86	0.0031	0.0011
87	0.0027	0.0007
88	0.0023	0.0003
89	0.0019	0.0000
90	0.0015	0.0000
91	0.0011	0.0000
92	0.0007	0.0000
93	0.0003	0.0000
94	0.0000	0.0000
95	0.0000	0.0000
96	0.0000	0.0000
97	0.0000	0.0000
98	0.0000	0.0000
99	0.0000	0.0000
100	0.0000	0.0000
101	0.0000	0.0000
102	0.0000	0.0000
103	0.0000	0.0000
104	0.0000	0.0000
105	0.0000	0.0000
106	0.0000	0.0000
107	0.0000	0.0000
108	0.0000	0.0000
109	0.0000	0.0000
110	0.0000	0.0000
111	0.0000	0.0000
112	0.0000	0.0000
113	0.0000	0.0000
114	0.0000	0.0000
115	0.0000	0.0000
116	0.0000	0.0000
117	0.0000	0.0000
118	0.0000	0.0000
119	0.0000	0.0000
120	0.0000	0.0000
